Package               Version     Latest   Type
--------------------- ----------- -------- -----
anyio                 4.11.0      4.12.1   wheel
beautifulsoup4        4.14.2      4.14.3   wheel
boto3                 1.40.51     1.42.49  wheel
botocore              1.40.51     1.42.49  wheel
brotli                1.1.0       1.2.0    wheel
certifi               2025.10.5   2026.1.4 wheel
click                 8.3.0       8.3.1    wheel
cryptography          46.0.2      46.0.5   wheel
cssselect2            0.8.0       0.9.0    wheel
fastapi               0.119.0     0.129.0  wheel
fonttools             4.60.1      4.61.1   wheel
fpdf2                 2.8.4       2.8.5    wheel
git-remote-s3         0.2.5       0.3.1    wheel
greenlet              3.2.4       3.3.1    wheel
jiter                 0.11.0      0.13.0   wheel
jmespath              1.0.1       1.1.0    wheel
markdown              3.9         3.10.2   wheel
matplotlib            3.10.7      3.10.8   wheel
narwhals              2.8.0       2.16.0   wheel
numpy                 2.3.3       2.4.2    wheel
openai                2.3.0       2.21.0   wheel
packaging             25.0        26.0     wheel
pandas                2.3.3       3.0.0    wheel
pillow                11.3.0      12.1.1   wheel
playwright            1.55.0      1.58.0   wheel
plotly                6.3.1       6.5.2    wheel
pycparser             2.23        3.0      wheel
pydantic              2.12.1      2.12.5   wheel
pydantic-core         2.41.3      2.41.5   wheel
pydyf                 0.11.0      0.12.1   wheel
pyee                  13.0.0      13.0.1   wheel
pyhanko               0.31.0      0.33.0   wheel
pyhanko-certvalidator 0.29.0      0.29.1   wheel
pyparsing             3.2.5       3.3.2    wheel
pypdf                 6.1.1       6.7.0    wheel
python-bidi           0.6.6       0.6.7    wheel
reportlab             4.4.4       4.4.10   wheel
s3transfer            0.14.0      0.16.0   wheel
soupsieve             2.8         2.8.3    wheel
starlette             0.48.0      0.52.1   wheel
svglib                1.5.1       1.6.0    wheel
tinycss2              1.4.0       1.5.1    wheel
tqdm                  4.67.1      4.67.3   wheel
tzdata                2025.2      2025.3   wheel
uritools              5.0.0       6.0.1    wheel
urllib3               2.5.0       2.6.3    wheel
uvicorn               0.37.0      0.40.0   wheel
weasyprint            66.0        68.1     wheel
werkzeug              3.1.3       3.1.5    wheel
zopfli                0.2.3.post1 0.4.1    wheel
